,partition.to,toFrame
Eim_Nuc375_F.Eim_Nuc376_R,389,3
Eim_Nuc1339_F.Eim_Nuc1340_R,805,2
Eim_Nuc2173_F.Eim_Nuc2174_R,1162,3
Eim_Nuc3283_F.Eim_Nuc3284_R,1546,3
Eim_Nuc3835_F.Eim_Nuc3836_R,1998,3
Eim_Nuc5051_F.Eim_Nuc5052_R,2366,1
Eim_Nuc5999_F.Eim_Nuc6000_R,2740,3
Eim_Nuc6075_F.Eim_Nuc6076_R,3119,3
Eim_Nuc6323_F.Eim_Nuc6324_R,3495,3
Eim_Nuc6819_F.Eim_Nuc6820_R,3954,3
Eim_Nuc7975_F.Eim_Nuc7976_R,4356,3
Eim_Nuc8427_F.Eim_Nuc8428_R,4805,2
Eim_Nuc8939_F.Eim_Nuc8940_R,5216,2
Eim_Nuc9133_F.Eim_Nuc9134_R,5623,2
Eim_Nuc9409_F.Eim_Nuc9410_R,6073,2
Eim_Nuc10085_F.Eim_Nuc10086_R,6520,1
Eim_Nuc3665_F. Eim_Nuc3666_R,6881,1
Eim_Nuc4783_F.Eim_Nuc4784_R,7320,3
Eim_Nuc9135_F.Eim_Nuc9136_R,7783,2
Eim_Nuc445_F.Eim_Nuc446_R,8161,3
Eim_Nuc1429_F.Eim_Nuc1430_R,8571,2
Eim_Nuc3173_F.Eim_Nuc3174_R,8966,3
Eim_Nuc3707_F.Eim_Nuc3708_R,9389,2
Eim_Nuc6133_F.Eim_Nuc6134_R,9765,1
Eim_Nuc7249_F.Eim_Nuc7250_R,10194,3
Eim_Nuc7585_F.Eim_Nuc7586_R,10627,3
Eim_Nuc8331_F.Eim_Nuc8332_R,11003,1
Eim_Nuc8631_F.Eim_Nuc8632_R,11438,1
Eim_Nuc8955_F.Eim_Nuc8956_R,11834,3
Eim_Nuc8971_F.Eim_Nuc8972_R,12229,2
Eim_Nuc9059_F.Eim_Nuc9060_R,12614,1
Eim_Nuc9209_F.Eim_Nuc9210_R,13012,1
